Assay	Cell Type	Molecule
CAGE	Clontech Human Universal Reference Total RNA, pool1	
CAGE	Clontech Human Universal Reference Total RNA, pool1	
CAGE	SABiosciences XpressRef Human Universal Total RNA, pool1	
CAGE	SABiosciences XpressRef Human Universal Total RNA, pool1	
CAGE	Universal RNA - Human Normal Tissues Biochain, pool1	
CAGE	Universal RNA - Human Normal Tissues Biochain, pool1	
CAGE	adipose tissue, adult, pool1	
CAGE	adipose tissue, adult, pool1	
CAGE	bladder, adult, pool1	
CAGE	bladder, adult, pool1	
CAGE	brain, adult, pool1	
CAGE	brain, adult, pool1	
CAGE	cervix, adult, pool1	
CAGE	cervix, adult, pool1	
CAGE	colon, adult, pool1	
CAGE	colon, adult, pool1	
CAGE	esophagus, adult, pool1	
CAGE	esophagus, adult, pool1	
CAGE	heart, adult, pool1	
CAGE	heart, adult, pool1	
CAGE	kidney, adult, pool1	
CAGE	kidney, adult, pool1	
CAGE	liver, adult, pool1	
CAGE	liver, adult, pool1	
CAGE	lung, adult, pool1	
CAGE	lung, adult, pool1	
CAGE	ovary, adult, pool1	
CAGE	ovary, adult, pool1	
CAGE	placenta, adult, pool1	
CAGE	placenta, adult, pool1	
CAGE	prostate, adult, pool1	
CAGE	prostate, adult, pool1	
CAGE	skeletal muscle, adult, pool1	
CAGE	skeletal muscle, adult, pool1	
CAGE	small intestine, adult, pool1	
CAGE	small intestine, adult, pool1	
CAGE	spleen, adult, pool1	
CAGE	spleen, adult, pool1	
CAGE	testis, adult, pool1	
CAGE	testis, adult, pool1	
CAGE	thymus, adult, pool1	
CAGE	thymus, adult, pool1	
CAGE	thyroid, adult, pool1	
CAGE	thyroid, adult, pool1	
CAGE	trachea, adult, pool1	
CAGE	trachea, adult, pool1	
CAGE	retina, adult, pool1	
CAGE	retina, adult, pool1	
CAGE	temporal lobe, adult, pool1	
CAGE	temporal lobe, adult, pool1	
CAGE	postcentral gyrus, adult, pool1	
CAGE	postcentral gyrus, adult, pool1	
CAGE	pons, adult, pool1	
CAGE	pons, adult, pool1	
CAGE	parietal lobe, adult, pool1	
CAGE	parietal lobe, adult, pool1	
CAGE	paracentral gyrus, adult, pool1	
CAGE	paracentral gyrus, adult, pool1	
CAGE	occipital pole, adult, pool1	
CAGE	occipital pole, adult, pool1	
CAGE	nucleus accumbens, adult, pool1	
CAGE	nucleus accumbens, adult, pool1	
CAGE	medulla oblongata, adult, pool1	
CAGE	medulla oblongata, adult, pool1	
CAGE	insula, adult, pool1	
CAGE	insula, adult, pool1	
CAGE	frontal lobe, adult, pool1	
CAGE	frontal lobe, adult, pool1	
CAGE	dura mater, adult,	
CAGE	dura mater, adult,	
CAGE	corpus callosum, adult, pool1	
CAGE	corpus callosum, adult, pool1	
CAGE	thymus, fetal, pool1	
CAGE	thymus, fetal, pool1	
CAGE	spleen, fetal, pool1	
CAGE	spleen, fetal, pool1	
CAGE	kidney, fetal, pool1	
CAGE	kidney, fetal, pool1	
CAGE	heart, fetal, pool1	
CAGE	heart, fetal, pool1	
CAGE	tonsil, adult, pool1	
CAGE	tonsil, adult, pool1	
CAGE	acute myeloid leukemia (FAB M5) cell line:THP-1 (fresh)	
CAGE	acute myeloid leukemia (FAB M5) cell line:THP-1 (fresh)	
CAGE	acute myeloid leukemia (FAB M5) cell line:THP-1 (revived)	
CAGE	acute myeloid leukemia (FAB M5) cell line:THP-1 (revived)	
CAGE	acute myeloid leukemia (FAB M5) cell line:THP-1 (thawed)	
CAGE	acute myeloid leukemia (FAB M5) cell line:THP-1 (thawed)	
CAGE	lung adenocarcinoma cell line:PC-14	
CAGE	lung adenocarcinoma cell line:PC-14	
CAGE	chronic myelogenous leukemia cell line:KU812	
CAGE	chronic myelogenous leukemia cell line:KU812	
CAGE	extraskeletal myxoid chondrosarcoma cell line:H-EMC-SS	
CAGE	extraskeletal myxoid chondrosarcoma cell line:H-EMC-SS	
CAGE	renal cell carcinoma cell line:OS-RC-2	
CAGE	renal cell carcinoma cell line:OS-RC-2	
CAGE	malignant trichilemmal cyst cell line:DJM-1	
CAGE	malignant trichilemmal cyst cell line:DJM-1	
CAGE	glioma cell line:GI-1	
CAGE	glioma cell line:GI-1	
CAGE	maxillary sinus tumor cell line:HSQ-89	
CAGE	maxillary sinus tumor cell line:HSQ-89	
CAGE	gall bladder carcinoma cell line:TGBC2TKB	
CAGE	gall bladder carcinoma cell line:TGBC2TKB	
CAGE	papillotubular adenocarcinoma cell line:TGBC18TKB	
CAGE	papillotubular adenocarcinoma cell line:TGBC18TKB	
CAGE	transitional-cell carcinoma cell line:5637	
CAGE	transitional-cell carcinoma cell line:5637	
CAGE	breast carcinoma cell line:MDA-MB-453	
CAGE	breast carcinoma cell line:MDA-MB-453	
CAGE	colon carcinoma cell line:COLO-320	
CAGE	colon carcinoma cell line:COLO-320	
CAGE	adult T-cell leukemia cell line:ATN-1	
CAGE	adult T-cell leukemia cell line:ATN-1	
CAGE	Burkitt's lymphoma cell line:DAUDI	
CAGE	Burkitt's lymphoma cell line:DAUDI	
CAGE	choriocarcinoma cell line:BeWo	
CAGE	choriocarcinoma cell line:BeWo	
CAGE	splenic lymphoma with villous lymphocytes cell line:SLVL	
CAGE	splenic lymphoma with villous lymphocytes cell line:SLVL	
CAGE	astrocytoma cell line:TM-31	
CAGE	astrocytoma cell line:TM-31	
CAGE	epidermoid carcinoma cell line:A431	
CAGE	epidermoid carcinoma cell line:A431	
CAGE	b cell line:RPMI1788	
CAGE	b cell line:RPMI1788	
CAGE	anaplastic carcinoma cell line:8305C	
CAGE	anaplastic carcinoma cell line:8305C	
CAGE	acute lymphoblastic leukemia (T-ALL) cell line:HPB-ALL	
CAGE	acute lymphoblastic leukemia (T-ALL) cell line:HPB-ALL	
CAGE	non T non B acute lymphoblastic leukemia (ALL) cell line:P30/OHK	
CAGE	non T non B acute lymphoblastic leukemia (ALL) cell line:P30/OHK	
CAGE	epidermoid carcinoma cell line:Ca Ski	
CAGE	epidermoid carcinoma cell line:Ca Ski	
CAGE	bile duct carcinoma cell line:HuCCT1	
CAGE	bile duct carcinoma cell line:HuCCT1	
CAGE	giant cell carcinoma cell line:Lu99B	
CAGE	giant cell carcinoma cell line:Lu99B	
CAGE	oral squamous cell carcinoma cell line:Ca9-22	
CAGE	oral squamous cell carcinoma cell line:Ca9-22	
CAGE	signet ring carcinoma cell line:Kato III	
CAGE	signet ring carcinoma cell line:Kato III	
CAGE	Endothelial Cells - Aortic,	
CAGE	Endothelial Cells - Aortic,	
CAGE	Smooth Muscle Cells - Aortic,	
CAGE	Smooth Muscle Cells - Aortic,	
CAGE	Smooth Muscle Cells - Umbilical artery,	
CAGE	Smooth Muscle Cells - Umbilical artery,	
CAGE	Retinal Pigment Epithelial Cells,	
CAGE	Retinal Pigment Epithelial Cells,	
CAGE	Urothelial cells,	
CAGE	Urothelial cells,	
CAGE	Mesenchymal stem cells - adipose,	
CAGE	Mesenchymal stem cells - adipose,	
CAGE	Mesenchymal stem cells - hepatic,	
CAGE	Mesenchymal stem cells - hepatic,	
CAGE	Mesenchymal Stem Cells - Vertebral,	
CAGE	Mesenchymal Stem Cells - Vertebral,	
CAGE	Sebocyte,	
CAGE	Sebocyte,	
CAGE	Fibroblast - Gingival,  (GFH2)	
CAGE	Fibroblast - Gingival,  (GFH2)	
CAGE	Mesothelial Cells,	
CAGE	Mesothelial Cells,	
CAGE	Sertoli Cells,	
CAGE	Sertoli Cells,	
CAGE	CD14+ Monocytes,	
CAGE	CD14+ Monocytes,	
CAGE	CD4+ T Cells,	
CAGE	CD4+ T Cells,	
CAGE	CD8+ T Cells,	
CAGE	CD8+ T Cells,	
CAGE	Dendritic Cells - monocyte immature derived, , tech_	
CAGE	Dendritic Cells - monocyte immature derived, , tech_	
CAGE	Dendritic Cells - plasmacytoid,	
CAGE	Dendritic Cells - plasmacytoid,	
CAGE	CD14+ monocyte derived endothelial progenitor cells,	
CAGE	CD14+ monocyte derived endothelial progenitor cells,	
CAGE	Natural Killer Cells,	
CAGE	Natural Killer Cells,	
CAGE	Peripheral Blood Mononuclear Cells,	
CAGE	Peripheral Blood Mononuclear Cells,	
CAGE	Macrophage - monocyte derived,	
CAGE	Macrophage - monocyte derived,	
CAGE	Neutrophils,	
CAGE	Neutrophils,	
CAGE	Smooth Muscle Cells - Brain Vascular,	
CAGE	Smooth Muscle Cells - Brain Vascular,	
CAGE	Astrocyte - cerebral cortex,	
CAGE	Astrocyte - cerebral cortex,	
CAGE	Endothelial Cells - Lymphatic,	
CAGE	Endothelial Cells - Lymphatic,	
CAGE	Fibroblast - Gingival,	
CAGE	Fibroblast - Gingival,	
CAGE	Fibroblast - Periodontal Ligament,	
CAGE	Fibroblast - Periodontal Ligament,	
CAGE	Smooth Muscle Cells - Colonic,	
CAGE	Smooth Muscle Cells - Colonic,	
CAGE	Skeletal Muscle Satellite Cells,	
CAGE	Skeletal Muscle Satellite Cells,	
CAGE	Myoblast,	
CAGE	Myoblast,	
CAGE	Ciliary Epithelial Cells,	
CAGE	Ciliary Epithelial Cells,	
CAGE	Endothelial Cells - Umbilical vein,	
CAGE	Endothelial Cells - Umbilical vein,	
CAGE	Fibroblast - Aortic Adventitial,	
CAGE	Fibroblast - Aortic Adventitial,	
CAGE	Intestinal epithelial cells (polarized),	
CAGE	Intestinal epithelial cells (polarized),	
